strategy,dataset,seed,final_accuracy,forgetting,time_seconds,accuracies,routes,macs_saved_pct,total_macs
naive,core50,42,0.02,0.09,226.6,"[0.11, 0.0831, 0.0261, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]",,,
ewc,core50,42,0.02,0.0906,300.7,"[0.1106, 0.0839, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]",,,
er,core50,42,0.02,0.0907,391.2,"[0.1107, 0.1534, 0.1607, 0.1169, 0.1263, 0.0702, 0.054, 0.0413, 0.02]",,,
derpp,core50,42,0.0881,0.022,464.0,"[0.1101, 0.1467, 0.1641, 0.1585, 0.1529, 0.1378, 0.1105, 0.0867, 0.0881]",,,
ea_nps,core50,42,0.0354,0.0749,227.9,"[0.1103, 0.1588, 0.1711, 0.1204, 0.1036, 0.0661, 0.0665, 0.0869, 0.0354]",sgd→er→er→er→er→er→er→er→er,0.6,923015680.0
naive,core50,43,0.02,0.081,218.4,"[0.101, 0.0741, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]",,,
ewc,core50,43,0.02,0.0809,296.2,"[0.1009, 0.074, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]",,,
er,core50,43,0.0207,0.0802,388.0,"[0.1009, 0.1539, 0.1587, 0.1233, 0.0937, 0.0444, 0.0214, 0.0237, 0.0207]",,,
derpp,core50,43,0.1102,-0.0094,460.8,"[0.1008, 0.1396, 0.1521, 0.155, 0.1621, 0.1292, 0.1341, 0.1344, 0.1102]",,,
ea_nps,core50,43,0.02,0.0895,222.6,"[0.1095, 0.1514, 0.1579, 0.1445, 0.1136, 0.035, 0.0202, 0.024, 0.02]",sgd→er→er→er→er→er→er→er→er,0.6,923015680.0
naive,core50,44,0.0199,0.0952,215.0,"[0.1151, 0.0813, 0.02, 0.02, 0.0199, 0.0199, 0.0199, 0.0199, 0.0199]",,,
ewc,core50,44,0.0199,0.095,291.1,"[0.115, 0.079, 0.02, 0.02, 0.02, 0.02, 0.0199, 0.0199, 0.0199]",,,
er,core50,44,0.0336,0.0813,380.0,"[0.1149, 0.1468, 0.1648, 0.1266, 0.0883, 0.0538, 0.0462, 0.0317, 0.0336]",,,
derpp,core50,44,0.1182,-0.0031,455.4,"[0.115, 0.1365, 0.1542, 0.1451, 0.1293, 0.1358, 0.1322, 0.1116, 0.1182]",,,
ea_nps,core50,44,0.035,0.0748,222.4,"[0.1098, 0.1488, 0.1511, 0.1123, 0.1113, 0.0461, 0.0179, 0.0362, 0.035]",sgd→er→er→er→er→er→er→er→er,0.6,923015680.0
