strategy,dataset,seed,final_accuracy,forgetting,time_seconds,task_accuracies,acc_matrix,routes,macs_saved_pct,routing_macs
naive,permuted_mnist,42,0.7206,0.2556,184.3,"[np.float64(0.9762), np.float64(0.9566), np.float64(0.8818999999999999), np.float64(0.7964499999999999), np.float64(0.72058)]","[[0.9762], [0.9355, 0.9777], [0.7619, 0.9055, 0.9783], [0.4935, 0.7817, 0.9347, 0.9759], [0.2695, 0.617, 0.809, 0.9349, 0.9725]]",,,
ewc,permuted_mnist,42,0.7496,0.2266,250.7,"[np.float64(0.9762), np.float64(0.94), np.float64(0.8858333333333334), np.float64(0.8207249999999999), np.float64(0.74956)]","[[0.9762], [0.9044, 0.9756], [0.7578, 0.9239, 0.9758], [0.5102, 0.8634, 0.9336, 0.9757], [0.255, 0.7476, 0.8429, 0.9258, 0.9765]]",,,
er,permuted_mnist,42,0.9611,0.0151,285.4,"[np.float64(0.9762), np.float64(0.97715), np.float64(0.9712333333333335), np.float64(0.9670500000000001), np.float64(0.96112)]","[[0.9762], [0.9766, 0.9777], [0.9665, 0.9713, 0.9759], [0.9562, 0.9652, 0.9718, 0.975], [0.9488, 0.9549, 0.9594, 0.9648, 0.9777]]",,,
derpp,permuted_mnist,42,0.9716,0.0046,356.2,"[np.float64(0.9762), np.float64(0.97715), np.float64(0.9758666666666667), np.float64(0.9734), np.float64(0.9716400000000001)]","[[0.9762], [0.9762, 0.9781], [0.9735, 0.9766, 0.9775], [0.9705, 0.9742, 0.974, 0.9749], [0.9665, 0.9721, 0.9718, 0.9729, 0.9749]]",,,
ea_nps,permuted_mnist,42,0.9578,0.0163,254.0,"[np.float64(0.9741), np.float64(0.9764999999999999), np.float64(0.9697999999999999), np.float64(0.96605), np.float64(0.95784)]","[[0.9741], [0.9759, 0.9771], [0.9639, 0.9687, 0.9768], [0.9557, 0.9624, 0.9715, 0.9746], [0.9374, 0.9515, 0.9616, 0.9654, 0.9733]]",sgd→er→er→er→er,1.1,7042560.0
naive,permuted_mnist,43,0.7167,0.257,195.9,"[np.float64(0.9737), np.float64(0.92045), np.float64(0.8607666666666667), np.float64(0.767575), np.float64(0.71668)]","[[0.9737], [0.8652, 0.9757], [0.7279, 0.8787, 0.9757], [0.4348, 0.7543, 0.9056, 0.9756], [0.3475, 0.6354, 0.7362, 0.8922, 0.9721]]",,,
ewc,permuted_mnist,43,0.7217,0.252,266.4,"[np.float64(0.9737), np.float64(0.9269499999999999), np.float64(0.8904666666666667), np.float64(0.8079500000000001), np.float64(0.72174)]","[[0.9737], [0.8802, 0.9737], [0.7834, 0.912, 0.976], [0.5563, 0.7476, 0.9523, 0.9756], [0.3918, 0.5914, 0.7737, 0.8777, 0.9741]]",,,
er,permuted_mnist,43,0.9594,0.0143,293.0,"[np.float64(0.9737), np.float64(0.97585), np.float64(0.9709333333333333), np.float64(0.966025), np.float64(0.95938)]","[[0.9737], [0.9738, 0.9779], [0.9659, 0.9709, 0.976], [0.953, 0.9643, 0.9706, 0.9762], [0.9436, 0.9553, 0.9573, 0.9696, 0.9711]]",,,
derpp,permuted_mnist,43,0.9712,0.0025,359.4,"[np.float64(0.9737), np.float64(0.9755), np.float64(0.9739), np.float64(0.973625), np.float64(0.9712400000000001)]","[[0.9737], [0.9751, 0.9759], [0.9706, 0.9749, 0.9762], [0.9692, 0.9739, 0.9761, 0.9753], [0.9644, 0.9698, 0.9734, 0.9737, 0.9749]]",,,
ea_nps,permuted_mnist,43,0.9611,0.0152,254.9,"[np.float64(0.9763), np.float64(0.97385), np.float64(0.9695666666666667), np.float64(0.9653750000000001), np.float64(0.96112)]","[[0.9763], [0.9739, 0.9738], [0.9634, 0.9688, 0.9765], [0.9516, 0.9644, 0.9696, 0.9759], [0.9477, 0.952, 0.9656, 0.9687, 0.9716]]",sgd→er→er→er→er,1.1,7042560.0
naive,permuted_mnist,44,0.786,0.1908,187.2,"[np.float64(0.9768), np.float64(0.95685), np.float64(0.8884), np.float64(0.822275), np.float64(0.7860400000000001)]","[[0.9768], [0.9405, 0.9732], [0.8015, 0.8883, 0.9754], [0.6146, 0.7918, 0.9063, 0.9764], [0.4282, 0.7158, 0.855, 0.9537, 0.9775]]",,,
ewc,permuted_mnist,44,0.8151,0.1617,248.9,"[np.float64(0.9768), np.float64(0.9588), np.float64(0.8893666666666666), np.float64(0.8154000000000001), np.float64(0.81508)]","[[0.9768], [0.9409, 0.9767], [0.8227, 0.8712, 0.9742], [0.5824, 0.7771, 0.9266, 0.9755], [0.5073, 0.7326, 0.8996, 0.96, 0.9759]]",,,
er,permuted_mnist,44,0.961,0.0158,290.6,"[np.float64(0.9768), np.float64(0.9751000000000001), np.float64(0.9719666666666665), np.float64(0.966275), np.float64(0.961)]","[[0.9768], [0.9733, 0.9769], [0.9691, 0.9708, 0.976], [0.9594, 0.9615, 0.9702, 0.974], [0.9447, 0.9506, 0.9665, 0.9676, 0.9756]]",,,
derpp,permuted_mnist,44,0.9724,0.0044,376.1,"[np.float64(0.9768), np.float64(0.9768), np.float64(0.9758666666666667), np.float64(0.974375), np.float64(0.97238)]","[[0.9768], [0.9765, 0.9771], [0.9741, 0.9785, 0.975], [0.9699, 0.9761, 0.9728, 0.9787], [0.9661, 0.9741, 0.9722, 0.9754, 0.9741]]",,,
ea_nps,permuted_mnist,44,0.9566,0.02,249.7,"[np.float64(0.9766), np.float64(0.9744), np.float64(0.9687), np.float64(0.966175), np.float64(0.9565999999999999)]","[[0.9766], [0.9733, 0.9755], [0.9655, 0.9679, 0.9727], [0.9593, 0.9611, 0.967, 0.9773], [0.9387, 0.9495, 0.9576, 0.9658, 0.9714]]",sgd→er→er→er→er,1.1,7042560.0
